FID,Latitude,Longitude,NAME,SUBSET,FEAT_TYPE,WATER,STATUS,Timemin
281,47.9712513,-122.387971, , , , , ,146.0
282,47.9712513,-122.377971, , , , , ,146.0
283,47.9712513,-122.367971, , , , , ,147.0
284,47.9712513,-122.35797099999999, , , , , ,147.0
285,47.9712513,-122.227971, , , , , ,33.0
286,47.9712513,-122.21797099999999, , , , , ,31.0
287,47.9712513,-122.207971, , , , , ,30.0
288,47.9712513,-122.197971, , , , , ,29.0
289,47.9712513,-122.177971, , , , , ,33.0
290,47.9712513,-122.15797099999999, , , , , ,40.0
291,47.9712513,-122.147971, , , , , ,39.0
292,47.9712513,-122.137971, , , , , ,35.0
293,47.9712513,-122.127971, , , , , ,35.0
294,47.9712513,-122.117971, , , , , ,0.0
295,47.9712513,-122.10797099999999, , , , , ,36.0
296,47.9712513,-122.097971, , , , , ,37.0
297,47.9712513,-122.087971, , , , , ,38.0
298,47.9712513,-122.07797099999999, , , , , ,39.0
299,47.9712513,-122.067971, , , , , ,40.0
300,47.9712513,-122.057971, , , , , ,44.0
301,47.9712513,-122.04797099999999, , , , , ,46.0
302,47.9712513,-122.037971, , , , , ,48.0
303,47.9712513,-122.027971, , , , , ,48.0
304,47.9712513,-122.017971, , , , , ,49.0
305,47.9712513,-122.007971, , , , , ,48.0
306,47.9712513,-121.99797099999999, , , , , ,48.0
307,47.9712513,-121.987971, , , , , ,52.0
308,47.9712513,-121.977971, , , , , ,52.0
309,47.9712513,-121.96797099999999, , , , , ,53.0
310,47.9712513,-121.957971, , , , , ,55.0
311,47.9712513,-121.947971, , , , , ,56.0
312,47.9612513,-122.68797099999999, , , , , ,92.0
313,47.9612513,-122.43797099999999, , , , , ,146.0
314,47.9612513,-122.427971, , , , , ,147.0
315,47.9612513,-122.417971, , , , , ,148.0
316,47.9612513,-122.40797099999999, , , , , ,147.0
317,47.9612513,-122.397971, , , , , ,145.0
318,47.9612513,-122.387971, , , , , ,147.0
319,47.9612513,-122.377971, , , , , ,149.0
320,47.9612513,-122.367971, , , , , ,149.0
321,47.9612513,-122.35797099999999, , , , , ,148.0
322,47.9612513,-122.237971, , , , , ,36.0
323,47.9612513,-122.227971, , , , , ,34.0
324,47.9612513,-122.21797099999999, , , , , ,30.0
325,47.9612513,-122.207971, , , , , ,29.0
326,47.9612513,-122.197971, , , , , ,28.0
327,47.9612513,-122.18797099999999, , , , , ,39.0
